"","From","Entry","Gene.Names","Protein.names","Protein.existence","Annotation","Gene.Ontology..GO.","Gene.Ontology.IDs","Gene.encoded.by"
"235","M3WS40","M3WS40","CA3","Carbonic anhydrase (EC 4.2.1.1)","Inferred from homology","2","cytoplasm [GO:0005737]; cytosol [GO:0005829]; carbonate dehydratase activity [GO:0004089]; nickel cation binding [GO:0016151]; zinc ion binding [GO:0008270]; one-carbon metabolic process [GO:0006730]; response to bacterium [GO:0009617]","GO:0004089; GO:0005737; GO:0005829; GO:0006730; GO:0008270; GO:0009617; GO:0016151",NA
"236","M3WAR8","M3WAR8","CA4","Carbonic anhydrase (EC 4.2.1.1)","Inferred from homology","4","apical plasma membrane [GO:0016324]; brush border membrane [GO:0031526]; endoplasmic reticulum-Golgi intermediate compartment [GO:0005793]; external side of plasma membrane [GO:0009897]; extracellular exosome [GO:0070062]; perinuclear region of cytoplasm [GO:0048471]; plasma membrane [GO:0005886]; rough endoplasmic reticulum [GO:0005791]; secretory granule membrane [GO:0030667]; trans-Golgi network [GO:0005802]; transport vesicle membrane [GO:0030658]; carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]; bicarbonate transport [GO:0015701]; one-carbon metabolic process [GO:0006730]","GO:0004089; GO:0005791; GO:0005793; GO:0005802; GO:0005886; GO:0006730; GO:0008270; GO:0009897; GO:0015701; GO:0016324; GO:0030658; GO:0030667; GO:0031526; GO:0048471; GO:0070062",NA
"237","A0A2I2U448","A0A2I2U448","CAB39","Calcium binding protein 39","Inferred from homology","1",NA,NA,NA
"238","M3WKE5","M3WKE5","CAB39L","Calcium binding protein 39 like","Inferred from homology","1",NA,NA,NA
"239","A0A2I2U2E0","A0A2I2U2E0","CACNA2D1","Calcium voltage-gated channel auxiliary subunit alpha2delta 1","Inferred from homology","1","monoatomic ion channel complex [GO:0034702]; calcium channel activity [GO:0005262]","GO:0005262; GO:0034702",NA
"240","A0A2I2UR43","A0A2I2UR43","CADM1","Cell adhesion molecule 1","Inferred from homology","1","membrane [GO:0016020]","GO:0016020",NA
"241","A0A2I2UUH5","A0A2I2UUH5","CADM2","Cell adhesion molecule 2","Inferred from homology","1","membrane [GO:0016020]","GO:0016020",NA
"242","M3WMA2","M3WMA2","CADM3","Cell adhesion molecule 3","Inferred from homology","1","membrane [GO:0016020]","GO:0016020",NA
"243","A0A2I2ULF8","A0A2I2ULF8","CADM4","Cell adhesion molecule 4","Inferred from homology","1","membrane [GO:0016020]","GO:0016020",NA
"244","A0A337RZZ8","A0A337RZZ8","CALB1","Calbindin","Inferred from homology","4","cytosol [GO:0005829]; dendrite [GO:0030425]; dendritic spine [GO:0043197]; GABA-ergic synapse [GO:0098982]; glutamatergic synapse [GO:0098978]; hippocampal mossy fiber to CA3 synapse [GO:0098686]; neuronal cell body [GO:0043025]; nucleus [GO:0005634]; synapse [GO:0045202]; terminal bouton [GO:0043195]; calcium ion binding [GO:0005509]; calcium ion binding involved in regulation of postsynaptic cytosolic calcium ion concentration [GO:0099567]; calcium ion binding involved in regulation of presynaptic cytosolic calcium ion concentration [GO:0099534]; vitamin D binding [GO:0005499]; zinc ion binding [GO:0008270]; cellular response to organic substance [GO:0071310]; locomotory behavior [GO:0007626]; long-term memory [GO:0007616]; metanephric collecting duct development [GO:0072205]; metanephric connecting tubule development [GO:0072286]; metanephric distal convoluted tubule development [GO:0072221]; metanephric part of ureteric bud development [GO:0035502]; regulation of long-term synaptic potentiation [GO:1900271]; regulation of presynaptic cytosolic calcium ion concentration [GO:0099509]; retina layer formation [GO:0010842]; short-term memory [GO:0007614]","GO:0005499; GO:0005509; GO:0005634; GO:0005829; GO:0007614; GO:0007616; GO:0007626; GO:0008270; GO:0010842; GO:0030425; GO:0035502; GO:0043025; GO:0043195; GO:0043197; GO:0045202; GO:0071310; GO:0072205; GO:0072221; GO:0072286; GO:0098686; GO:0098978; GO:0098982; GO:0099509; GO:0099534; GO:0099567; GO:1900271",NA
"245","A0A337SVD2","A0A337SVD2","CALM1","EF-hand domain-containing protein","Predicted","1","cytoplasm [GO:0005737]; spindle pole [GO:0000922]; calcium ion binding [GO:0005509]","GO:0000922; GO:0005509; GO:0005737",NA
"246","A0A337SJA7","A0A337SJA7","CALM3 CALM2","Calmodulin 2 (Calmodulin 3)","Predicted","1","calcium ion binding [GO:0005509]","GO:0005509",NA
"247","M3VUU7","M3VUU7","CALR","Calreticulin","Inferred from homology","5","cortical granule [GO:0060473]; cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum quality control compartment [GO:0044322]; external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; MHC class I peptide loading complex [GO:0042824]; nuclear envelope [GO:0005635]; perinuclear region of cytoplasm [GO:0048471]; ribosome [GO:0005840]; sarcoplasmic reticulum lumen [GO:0033018]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; complement component C1q complex binding [GO:0001849]; integrin binding [GO:0005178]; molecular sequestering activity [GO:0140313]; mRNA binding [GO:0003729]; nuclear androgen receptor binding [GO:0050681]; nuclear export signal receptor activity [GO:0005049]; ubiquitin protein ligase binding [GO:0031625]; unfolded protein binding [GO:0051082]; cellular senescence [GO:0090398]; cortical actin cytoskeleton organization [GO:0030866]; ERAD pathway [GO:0036503]; negative regulation of intracellular steroid hormone receptor signaling pathway [GO:0033144]; negative regulation of neuron differentiation [GO:0045665]; negative regulation of retinoic acid receptor signaling pathway [GO:0048387]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of translation [GO:0017148]; negative regulation of trophoblast cell migration [GO:1901164]; peptide antigen assembly with MHC class I protein complex [GO:0002502]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of dendritic cell chemotaxis [GO:2000510]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of gene expression [GO:0010628]; positive regulation of non-canonical NF-kappaB signal transduction [GO:1901224]; positive regulation of phagocytosis [GO:0050766]; positive regulation of substrate adhesion-dependent cell spreading [GO:1900026]; protein export from nucleus [GO:0006611]; protein folding [GO:0006457]; protein localization to nucleus [GO:0034504]; protein stabilization [GO:0050821]; regulation of meiotic nuclear division [GO:0040020]","GO:0000122; GO:0001849; GO:0002502; GO:0003729; GO:0005049; GO:0005178; GO:0005509; GO:0005615; GO:0005635; GO:0005789; GO:0005829; GO:0005840; GO:0006457; GO:0006611; GO:0008284; GO:0009897; GO:0010595; GO:0010628; GO:0017148; GO:0030246; GO:0030866; GO:0031625; GO:0033018; GO:0033144; GO:0034504; GO:0036503; GO:0040020; GO:0042824; GO:0044322; GO:0045665; GO:0045787; GO:0048387; GO:0048471; GO:0050681; GO:0050766; GO:0050821; GO:0051082; GO:0060473; GO:0090398; GO:0140313; GO:1900026; GO:1901164; GO:1901224; GO:2000510",NA
"248","A0A2I2U8F6","A0A2I2U8F6","CALR3","Calreticulin","Inferred from homology","2","endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; nuclear envelope [GO:0005635]; calcium ion binding [GO:0005509]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]; ERAD pathway [GO:0036503]; protein folding [GO:0006457]","GO:0005509; GO:0005635; GO:0005788; GO:0005789; GO:0006457; GO:0036503; GO:0044183; GO:0051082",NA
"249","A0A2I2U457","A0A2I2U457","CALU","Calumenin","Inferred from homology","2","endoplasmic reticulum membrane [GO:0005789]; Golgi apparatus [GO:0005794]; melanosome [GO:0042470]; sarcoplasmic reticulum lumen [GO:0033018]; calcium ion binding [GO:0005509]","GO:0005509; GO:0005789; GO:0005794; GO:0033018; GO:0042470",NA
"250","A0A2I2UC97","A0A2I2UC97","CALU","Calumenin","Inferred from homology","2","extracellular region [GO:0005576]; calcium ion binding [GO:0005509]","GO:0005509; GO:0005576",NA
"251","F1C962","F1C962","CAMP","Cathelicidin","Evidence at transcript level","2","extracellular space [GO:0005615]; specific granule [GO:0042581]; lipopolysaccharide binding [GO:0001530]; amyloid fibril formation [GO:1990000]; antibacterial humoral response [GO:0019731]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response [GO:0045087]; innate immune response in mucosa [GO:0002227]; killing by host of symbiont cells [GO:0051873]; neutrophil activation [GO:0042119]","GO:0001530; GO:0002227; GO:0005615; GO:0019731; GO:0042119; GO:0042581; GO:0045087; GO:0050829; GO:0050830; GO:0051873; GO:0061844; GO:1990000",NA
"252","A0A2I2U679","A0A2I2U679","CANT1","Galectin-3-binding protein (Lectin galactoside-binding soluble 3-binding protein)","Predicted","2","extracellular space [GO:0005615]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; nucleoside diphosphate phosphatase activity [GO:0017110]; cell adhesion [GO:0007155]","GO:0005509; GO:0005615; GO:0007155; GO:0016020; GO:0017110",NA
"253","A0A2I2U787","A0A2I2U787","CAP2","Adenylyl cyclase-associated protein","Inferred from homology","3","cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; postsynaptic density [GO:0014069]; actin binding [GO:0003779]; adenylate cyclase binding [GO:0008179]; identical protein binding [GO:0042802]; RNA binding [GO:0003723]; actin filament organization [GO:0007015]; cAMP-mediated signaling [GO:0019933]; cell morphogenesis [GO:0000902]; presynaptic actin cytoskeleton organization [GO:0099140]","GO:0000902; GO:0003723; GO:0003779; GO:0005737; GO:0005886; GO:0007015; GO:0008179; GO:0014069; GO:0019933; GO:0042802; GO:0099140",NA
"254","M3XEV5","M3XEV5","CAPN7","Calpain 7","Inferred from homology","2","centrosome [GO:0005813]; cytosol [GO:0005829]; calcium-dependent cysteine-type endopeptidase activity [GO:0004198]; cysteine-type endopeptidase activity [GO:0004197]; MIT domain binding [GO:0090541]; positive regulation of epithelial cell migration [GO:0010634]; proteolysis [GO:0006508]; self proteolysis [GO:0097264]","GO:0004197; GO:0004198; GO:0005813; GO:0005829; GO:0006508; GO:0010634; GO:0090541; GO:0097264",NA
"255","M3WK60","M3WK60","CAPNS1","Calpain small subunit 1","Predicted","1","calpain complex [GO:0110158]; cytosol [GO:0005829]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; calcium-dependent cysteine-type endopeptidase activity [GO:0004198]","GO:0004198; GO:0005509; GO:0005829; GO:0016020; GO:0110158",NA
"256","A0M8S9","A0M8S9","CAPZA2","F-actin-capping protein subunit alpha-2 (CapZ alpha-2)","Inferred from homology","2","cortical cytoskeleton [GO:0030863]; F-actin capping protein complex [GO:0008290]; actin filament binding [GO:0051015]; actin cytoskeleton organization [GO:0030036]; barbed-end actin filament capping [GO:0051016]","GO:0008290; GO:0030036; GO:0030863; GO:0051015; GO:0051016",NA
"257","A0A337S7D7","A0A337S7D7","CAPZB","F-actin-capping protein subunit beta","Inferred from homology","2","cytoplasm [GO:0005737]; F-actin capping protein complex [GO:0008290]; actin binding [GO:0003779]; actin cytoskeleton organization [GO:0030036]; barbed-end actin filament capping [GO:0051016]","GO:0003779; GO:0005737; GO:0008290; GO:0030036; GO:0051016",NA
"258","A0A5F5XBX1","A0A5F5XBX1","CASKIN1","CASK interacting protein 1","Predicted","1",NA,NA,NA
"259","M3X6G1","M3X6G1","CAVIN1","Caveolae associated protein 1","Inferred from homology","3","caveola [GO:0005901]; cytoplasm [GO:0005737]; endoplasmic reticulum [GO:0005783]; mitochondrion [GO:0005739]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; identical protein binding [GO:0042802]; rRNA primary transcript binding [GO:0042134]; positive regulation of cell motility [GO:2000147]; protein secretion [GO:0009306]; rRNA transcription [GO:0009303]; termination of RNA polymerase I transcription [GO:0006363]; transcription initiation at RNA polymerase I promoter [GO:0006361]","GO:0005634; GO:0005737; GO:0005739; GO:0005783; GO:0005901; GO:0006361; GO:0006363; GO:0009303; GO:0009306; GO:0032991; GO:0042134; GO:0042802; GO:2000147",NA
"260","A0A337S4Q8","A0A337S4Q8","CB4H12orf56","Chromosome B4 C12orf56 homolog","Predicted","1",NA,NA,NA
"261","M3W7W5","M3W7W5","CBLIF","Cobalamin binding intrinsic factor","Inferred from homology","2","apical plasma membrane [GO:0016324]; endosome [GO:0005768]; extracellular space [GO:0005615]; microvillus [GO:0005902]; cargo receptor ligand activity [GO:0140355]; cobalamin binding [GO:0031419]; cobalamin transport [GO:0015889]; cobalt ion transport [GO:0006824]","GO:0005615; GO:0005768; GO:0005902; GO:0006824; GO:0015889; GO:0016324; GO:0031419; GO:0140355",NA
"262","A0A337S4U7","A0A337S4U7","CBLN2","Cerebellin 2","Predicted","1",NA,NA,NA
"263","A0A337SFW3","A0A337SFW3","CCDC126","Coiled-coil domain containing 126","Predicted","1","extracellular region [GO:0005576]","GO:0005576",NA
"264","A0A2I2U794","A0A2I2U794","CCDC150","Coiled-coil domain containing 150","Predicted","1",NA,NA,NA
"265","A0A2I2U1I0","A0A2I2U1I0","CCDC154","Coiled-coil domain containing 154","Predicted","1","bone mineralization involved in bone maturation [GO:0035630]; bone resorption [GO:0045453]; odontogenesis of dentin-containing tooth [GO:0042475]; tooth eruption [GO:0044691]","GO:0035630; GO:0042475; GO:0044691; GO:0045453",NA
"266","M3WGB1","M3WGB1","CCDC68","Coiled-coil domain containing 68","Predicted","1","centriolar subdistal appendage [GO:0120103]; centriole [GO:0005814]; intracellular signal transduction [GO:0035556]; microtubule anchoring at centrosome [GO:0034454]; protein localization [GO:0008104]","GO:0005814; GO:0008104; GO:0034454; GO:0035556; GO:0120103",NA
"267","M3WCI9","M3WCI9","CCL16","C-C motif chemokine","Inferred from homology","2","extracellular space [GO:0005615]; CCR chemokine receptor binding [GO:0048020]; chemoattractant activity [GO:0042056]; chemokine activity [GO:0008009]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; chemokine-mediated signaling pathway [GO:0070098]; eosinophil chemotaxis [GO:0048245]; inflammatory response [GO:0006954]; positive regulation of cell migration [GO:0030335]","GO:0005615; GO:0006954; GO:0008009; GO:0030335; GO:0042056; GO:0048020; GO:0048245; GO:0061844; GO:0070098",NA
"268","M3WX79","M3WX79","CCN1","CCN family member 1 (Cellular communication network factor 1) (Protein CYR61)","Inferred from homology","5","extracellular space [GO:0005615]; extracellular matrix binding [GO:0050840]; growth factor binding [GO:0019838]; integrin binding [GO:0005178]; apoptotic process involved in heart morphogenesis [GO:0003278]; atrial septum morphogenesis [GO:0060413]; atrioventricular valve morphogenesis [GO:0003181]; cell adhesion [GO:0007155]; chondroblast differentiation [GO:0060591]; chorio-allantoic fusion [GO:0060710]; extracellular matrix organization [GO:0030198]; intussusceptive angiogenesis [GO:0002041]; labyrinthine layer blood vessel development [GO:0060716]; negative regulation of apoptotic process [GO:0043066]; osteoblast differentiation [GO:0001649]; positive regulation of apoptotic process [GO:0043065]; positive regulation of BMP signaling pathway [GO:0030513]; positive regulation of bone mineralization [GO:0030501]; positive regulation of cartilage development [GO:0061036]; positive regulation of cell differentiation [GO:0045597]; positive regulation of cell migration [GO:0030335]; positive regulation of cell-substrate adhesion [GO:0010811]; positive regulation of ceramide biosynthetic process [GO:2000304]; positive regulation of osteoblast differentiation [GO:0045669]; positive regulation of osteoblast proliferation [GO:0033690]; positive regulation of protein phosphorylation [GO:0001934]; positive regulation of transcription by RNA polymerase II [GO:0045944]; reactive oxygen species metabolic process [GO:0072593]; regulation of ERK1 and ERK2 cascade [GO:0070372]; signal transduction [GO:0007165]; ventricular septum development [GO:0003281]; wound healing, spreading of cells [GO:0044319]","GO:0001649; GO:0001934; GO:0002041; GO:0003181; GO:0003278; GO:0003281; GO:0005178; GO:0005615; GO:0007155; GO:0007165; GO:0010811; GO:0019838; GO:0030198; GO:0030335; GO:0030501; GO:0030513; GO:0033690; GO:0043065; GO:0043066; GO:0044319; GO:0045597; GO:0045669; GO:0045944; GO:0050840; GO:0060413; GO:0060591; GO:0060710; GO:0060716; GO:0061036; GO:0070372; GO:0072593; GO:2000304",NA
"269","A0A337S566","A0A337S566","CCN2","CCN family member 2 (Cellular communication network factor 2) (Connective tissue growth factor)","Inferred from homology","2","extracellular region [GO:0005576]; DNA biosynthetic process [GO:0071897]; signal transduction [GO:0007165]","GO:0005576; GO:0007165; GO:0071897",NA
"270","A0A2I2UV24","A0A2I2UV24","CCN3","CCN family member 3 (Cellular communication network factor 3)","Inferred from homology","2","extracellular region [GO:0005576]; gap junction [GO:0005921]; growth factor activity [GO:0008083]","GO:0005576; GO:0005921; GO:0008083",NA
"271","A0A337SGQ6","A0A337SGQ6","CCN4","Cellular communication network factor 4","Inferred from homology","1","extracellular region [GO:0005576]; signal transduction [GO:0007165]","GO:0005576; GO:0007165",NA
"272","A0A337S736","A0A337S736","CCT4","T-complex protein 1 subunit delta","Inferred from homology","2","chaperonin-containing T-complex [GO:0005832]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]","GO:0005524; GO:0005832; GO:0016887; GO:0051082; GO:0140662",NA
"273","A0A337SB54","A0A337SB54","CD109","CD109 molecule","Inferred from homology","1","extracellular space [GO:0005615]; serine-type endopeptidase inhibitor activity [GO:0004867]","GO:0004867; GO:0005615",NA
"274","M3VWC6","M3VWC6","CD14","Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein)","Predicted","4","external side of plasma membrane [GO:0009897]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; lipopolysaccharide receptor complex [GO:0046696]; membrane raft [GO:0045121]; lipopolysaccharide binding [GO:0001530]; lipopolysaccharide immune receptor activity [GO:0001875]; lipoteichoic acid binding [GO:0070891]; cellular response to diacyl bacterial lipopeptide [GO:0071726]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to lipoteichoic acid [GO:0071223]; cellular response to triacyl bacterial lipopeptide [GO:0071727]; inflammatory response [GO:0006954]; innate immune response [GO:0045087]; positive regulation of cytokine production [GO:0001819]; positive regulation of endocytosis [GO:0045807]; positive regulation of interleukin-8 production [GO:0032757]; positive regulation of lipopolysaccharide-mediated signaling pathway [GO:0031666]; positive regulation of toll-like receptor 4 signaling pathway [GO:0034145]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of type I interferon production [GO:0032481]; positive regulation of type II interferon production [GO:0032729]; receptor-mediated endocytosis [GO:0006898]; toll-like receptor 4 signaling pathway [GO:0034142]","GO:0001530; GO:0001819; GO:0001875; GO:0005615; GO:0005794; GO:0006898; GO:0006954; GO:0009897; GO:0031666; GO:0032481; GO:0032729; GO:0032757; GO:0032760; GO:0034142; GO:0034145; GO:0045087; GO:0045121; GO:0045807; GO:0046696; GO:0070891; GO:0071222; GO:0071223; GO:0071726; GO:0071727",NA
"275","M3VZG5","M3VZG5","CD163","CD163 molecule","Predicted","1","external side of plasma membrane [GO:0009897]; scaffold protein binding [GO:0097110]","GO:0009897; GO:0097110",NA
"276","A0A2I2UYP6","A0A2I2UYP6","CD177","CD177 molecule","Predicted","2","plasma membrane raft [GO:0044853]; cell-cell adhesion via plasma-membrane adhesion molecules [GO:0098742]; cell-cell junction maintenance [GO:0045217]; leukocyte cell-cell adhesion [GO:0007159]; positive regulation of neutrophil degranulation [GO:0043315]; regulation of integrin-mediated signaling pathway [GO:2001044]","GO:0007159; GO:0043315; GO:0044853; GO:0045217; GO:0098742; GO:2001044",NA
"277","A0A337SMM1","A0A337SMM1","CD1H11orf24","Prostate androgen-regulated mucin-like protein 1","Predicted","2","Golgi apparatus [GO:0005794]; membrane [GO:0016020]","GO:0005794; GO:0016020",NA
"278","A0A2I2U7D8","A0A2I2U7D8","CD1H11orf54","Chromosome D1 C11orf54 homolog","Predicted","1","nucleus [GO:0005634]","GO:0005634",NA
"279","M3W8D8","M3W8D8","CD200","CD200 molecule","Predicted","2","axon [GO:0030424]; cell surface [GO:0009986]; membrane [GO:0016020]; neuronal cell body [GO:0043025]; cell-cell adhesion mediator activity [GO:0098632]; heterotypic cell-cell adhesion [GO:0034113]; negative regulation of matrix metallopeptidase secretion [GO:1904465]; negative regulation of neuroinflammatory response [GO:0150079]; positive regulation of transforming growth factor beta production [GO:0071636]","GO:0009986; GO:0016020; GO:0030424; GO:0034113; GO:0043025; GO:0071636; GO:0098632; GO:0150079; GO:1904465",NA
"280","A0A5F5XNG4","A0A5F5XNG4","CD248","CD248 molecule","Predicted","2","cytoplasm [GO:0005737]; external side of plasma membrane [GO:0009897]; calcium ion binding [GO:0005509]; extracellular matrix binding [GO:0050840]; extracellular matrix protein binding [GO:1990430]; anatomical structure regression [GO:0060033]; cell migration [GO:0016477]; endothelial cell apoptotic process [GO:0072577]; fibroblast migration [GO:0010761]; fibroblast proliferation [GO:0048144]; lymph node development [GO:0048535]; positive regulation of endothelial cell apoptotic process [GO:2000353]; positive regulation of fibroblast proliferation [GO:0048146]","GO:0005509; GO:0005737; GO:0009897; GO:0010761; GO:0016477; GO:0048144; GO:0048146; GO:0048535; GO:0050840; GO:0060033; GO:0072577; GO:1990430; GO:2000353",NA
"281","A0A5F5Y5L0","A0A5F5Y5L0","CD27","CD27 molecule","Predicted","2","external side of plasma membrane [GO:0009897]; cysteine-type endopeptidase inhibitor activity involved in apoptotic process [GO:0043027]; transmembrane signaling receptor activity [GO:0004888]; extrinsic apoptotic signaling pathway [GO:0097191]; negative regulation of apoptotic process [GO:0043066]; positive regulation of B cell differentiation [GO:0045579]; positive regulation of T cell differentiation [GO:0045582]","GO:0004888; GO:0009897; GO:0043027; GO:0043066; GO:0045579; GO:0045582; GO:0097191",NA
"282","A0A2I2UYF4","A0A2I2UYF4","CD276","CD276 molecule","Inferred from homology","2","external side of plasma membrane [GO:0009897]; signaling receptor binding [GO:0005102]; regulation of cytokine production [GO:0001817]; T cell receptor signaling pathway [GO:0050852]","GO:0001817; GO:0005102; GO:0009897; GO:0050852",NA
"283","M3XCH2","M3XCH2","CD2AP","CD2 associated protein","Predicted","5","cell leading edge [GO:0031252]; centriolar satellite [GO:0034451]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; fibrillar center [GO:0001650]; filamentous actin [GO:0031941]; growth cone [GO:0030426]; late endosome [GO:0005770]; neuromuscular junction [GO:0031594]; nuclear envelope lumen [GO:0005641]; plasma membrane [GO:0005886]; podosome [GO:0002102]; ruffle [GO:0001726]; slit diaphragm [GO:0036057]; trans-Golgi network membrane [GO:0032588]; vesicle [GO:0031982]; actin filament binding [GO:0051015]; clathrin binding [GO:0030276]; identical protein binding [GO:0042802]; phosphatidylinositol 3-kinase regulatory subunit binding [GO:0036312]; SH3 domain binding [GO:0017124]; actin filament organization [GO:0007015]; actin filament polymerization [GO:0030041]; adipose tissue development [GO:0060612]; apoptotic process [GO:0006915]; cell migration [GO:0016477]; cell population proliferation [GO:0008283]; cell-cell adhesion mediated by cadherin [GO:0044331]; cell-cell junction organization [GO:0045216]; collateral sprouting [GO:0048668]; endothelium development [GO:0003158]; ERK1 and ERK2 cascade [GO:0070371]; filopodium assembly [GO:0046847]; glucose import [GO:0046323]; immunological synapse formation [GO:0001771]; inflammatory response [GO:0006954]; lipid metabolic process [GO:0006629]; liver development [GO:0001889]; localization of cell [GO:0051674]; lymph node development [GO:0048535]; maintenance of blood-brain barrier [GO:0035633]; male gonad development [GO:0008584]; membrane organization [GO:0061024]; negative regulation of neuron apoptotic process [GO:0043524]; negative regulation of small GTPase mediated signal transduction [GO:0051058]; negative regulation of transforming growth factor beta1 production [GO:0032911]; nerve growth factor signaling pathway [GO:0038180]; neurotrophin TRK receptor signaling pathway [GO:0048011]; phosphatidylinositol 3-kinase/protein kinase B signal transduction [GO:0043491]; podocyte differentiation [GO:0072112]; positive regulation of protein localization to nucleus [GO:1900182]; positive regulation of protein secretion [GO:0050714]; protein catabolic process [GO:0030163]; protein heterooligomerization [GO:0051291]; protein secretion [GO:0009306]; Rab protein signal transduction [GO:0032482]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of synaptic plasticity [GO:0048167]; renal albumin absorption [GO:0097018]; response to glial cell derived neurotrophic factor [GO:1990790]; response to insulin [GO:0032868]; response to oxidative stress [GO:0006979]; response to transforming growth factor beta [GO:0071559]; response to virus [GO:0009615]; response to wounding [GO:0009611]; stress-activated MAPK cascade [GO:0051403]; synapse organization [GO:0050808]; T cell receptor signaling pathway [GO:0050852]; transforming growth factor beta1 production [GO:0032905]","GO:0001650; GO:0001726; GO:0001771; GO:0001889; GO:0002102; GO:0003158; GO:0005641; GO:0005737; GO:0005770; GO:0005886; GO:0006629; GO:0006915; GO:0006954; GO:0006979; GO:0007015; GO:0008283; GO:0008584; GO:0009306; GO:0009611; GO:0009615; GO:0016477; GO:0017124; GO:0030041; GO:0030163; GO:0030276; GO:0030425; GO:0030426; GO:0031252; GO:0031594; GO:0031941; GO:0031982; GO:0032482; GO:0032588; GO:0032868; GO:0032905; GO:0032911; GO:0032956; GO:0034451; GO:0035633; GO:0036057; GO:0036312; GO:0038180; GO:0042802; GO:0043491; GO:0043524; GO:0044331; GO:0045216; GO:0046323; GO:0046847; GO:0048011; GO:0048167; GO:0048535; GO:0048668; GO:0050714; GO:0050808; GO:0050852; GO:0051015; GO:0051058; GO:0051291; GO:0051403; GO:0051674; GO:0060612; GO:0061024; GO:0070371; GO:0071559; GO:0072112; GO:0097018; GO:1900182; GO:1990790",NA
"284","A0A337S6R6","A0A337S6R6","CD300LG","CD300 molecule like family member g","Predicted","1","membrane [GO:0016020]","GO:0016020",NA
"285","A0A5F5Y2H9","A0A5F5Y2H9","CD34","CD34 molecule","Predicted","1","membrane [GO:0016020]; cell adhesion [GO:0007155]","GO:0007155; GO:0016020",NA
"286","A0A337S4N5","A0A337S4N5","CD40","Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (CD40L receptor)","Predicted","2","external side of plasma membrane [GO:0009897]; signaling receptor activity [GO:0038023]; B cell activation [GO:0042113]; regulation of immune response [GO:0050776]","GO:0009897; GO:0038023; GO:0042113; GO:0050776",NA
"287","A0A2I2UH63","A0A2I2UH63","CD44","CD44 antigen (GP90 lymphocyte homing/adhesion receptor) (HUTCH-I) (Hermes antigen) (Hyaluronate receptor) (Phagocytic glycoprotein 1) (Phagocytic glycoprotein I)","Predicted","3","extracellular region [GO:0005576]; microvillus [GO:0005902]; plasma membrane [GO:0005886]; hyaluronic acid binding [GO:0005540]; cell adhesion [GO:0007155]","GO:0005540; GO:0005576; GO:0005886; GO:0005902; GO:0007155",NA
"288","A0A337SX28","A0A337SX28","CD47","Leukocyte surface antigen CD47 (Integrin-associated protein)","Predicted","2","plasma membrane [GO:0005886]; thrombospondin receptor activity [GO:0070053]; cell adhesion [GO:0007155]; positive regulation of cell-cell adhesion [GO:0022409]; positive regulation of inflammatory response [GO:0050729]; positive regulation of phagocytosis [GO:0050766]","GO:0005886; GO:0007155; GO:0022409; GO:0050729; GO:0050766; GO:0070053",NA
"289","A0A5F5XDA0","A0A5F5XDA0","CD58","CD58 molecule","Predicted","1","membrane [GO:0016020]","GO:0016020",NA
"290","A0A5F5XQT8","A0A5F5XQT8","CD59","MAC-inhibitory protein (Membrane attack complex inhibition factor) (Protectin)","Predicted","2","plasma membrane [GO:0005886]; side of membrane [GO:0098552]; complement binding [GO:0001848]; negative regulation of activation of membrane attack complex [GO:0001971]","GO:0001848; GO:0001971; GO:0005886; GO:0098552",NA
"291","A0A1E1GEV5","A0A1E1GEV5","cd5l AIM","CD5 antigen-like","Evidence at transcript level","2","collagen-containing extracellular matrix [GO:0062023]; extracellular space [GO:0005615]; membrane [GO:0016020]; protein-lysine 6-oxidase activity [GO:0004720]; collagen fibril organization [GO:0030199]","GO:0004720; GO:0005615; GO:0016020; GO:0030199; GO:0062023",NA
